run_id,case_id,artifact_type,file_path,git_tracked,tool,source_node,condition_id,meb_nm,temperature_K,vd_V,vg_condition,mesh_id,physics_id,status,description
r04,r4b,raw_csv,data/run04/raw/r04_gidl_meb31_vd1p2_vg0_m0p7_drain_raw.csv,yes,Sentaurus Visual,n56,r4_gidl_meb31,31,300,1.2,0 to -0.7 V,mesh_gidl,btbt_nonlocalpath,verified_raw,141-row raw signed drain-current export; 5 mV requested gate grid.
r04,r4b,raw_csv,data/run04/raw/r04_gidl_meb36_vd1p2_vg0_m0p7_drain_raw.csv,yes,Sentaurus Visual,n46,r4_gidl_meb36,36,300,1.2,0 to -0.7 V,mesh_gidl,btbt_nonlocalpath,verified_raw,141-row raw signed drain-current export; 5 mV requested gate grid.
r04,r4b,raw_csv,data/run04/raw/r04_gidl_meb41_vd1p2_vg0_m0p7_drain_raw.csv,yes,Sentaurus Visual,n61,r4_gidl_meb41,41,300,1.2,0 to -0.7 V,mesh_gidl,btbt_nonlocalpath,verified_raw,141-row raw signed drain-current export; 5 mV requested gate grid.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb31_vd0p05_idvg_raw.csv,yes,Sentaurus Visual,n17,r4_dc_low_meb31,31,300,0.05,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb31_vd1p0_idvg_raw.csv,yes,Sentaurus Visual,n24,r4_dc_high_meb31,31,300,1.0,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb36_vd0p05_idvg_raw.csv,yes,Sentaurus Visual,n16,r4_dc_low_meb36,36,300,0.05,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb36_vd1p0_idvg_raw.csv,yes,Sentaurus Visual,n21,r4_dc_high_meb36,36,300,1.0,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb41_vd0p05_idvg_raw.csv,yes,Sentaurus Visual,n18,r4_dc_low_meb41,41,300,0.05,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4c,raw_csv,data/run04/raw/r04_dc_meb41_vd1p0_idvg_raw.csv,yes,Sentaurus Visual,n27,r4_dc_high_meb41,41,300,1.0,0 to 1.5 V,mesh_medium,btbt_off,verified_raw,301-row raw signed drain-current Id-Vg export.
r04,r4,processed_csv,data/run04/processed/r04_meb_screening_summary.csv,yes,Python,derived,r4_summary,,,,mixed,frozen_protocol,derived_verified,Metrics recomputed from archived raw CSV using frozen Run 1/Run 3 definitions.,
r04,r4,processed_csv,data/run04/processed/r04_extraction_diagnostics.csv,yes,Python,derived,r4_diagnostics,,,,mixed,frozen_protocol,derived_verified,SS fit diagnostics and signed endpoint values.,
r04,r4a,sde_cmd,code/sde/run04/bcat_sde_r4_meb_screening_executed_snapshot.cmd,yes,Sentaurus Structure Editor,parameterized,r4_common_sde,,,,mesh_code_parameterized,geometry_mesh_only,user_supplied_snapshot,Exact supplied source snapshot; inherited comments retained.,
r04,r4b,sdevice_cmd,code/sdevice/run04/bcat_gidl_r4_meb_screening_executed_snapshot.cmd,yes,Sentaurus Device,parameterized,r4_gidl_deck,,,,mesh_gidl,btbt_nonlocalpath,user_supplied_snapshot,Exact supplied parameterized source snapshot; inherited R3 naming retained.,
r04,r4,image,assets/images/run04/01_gidl_3level_semilog.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,Three-level GIDL terminal-current semilog overlay.,
r04,r4,image,assets/images/run04/02_btbt_generation_3level.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,Three-level Band2BandGeneration spatial comparison; automatic scales.,
r04,r4,image,assets/images/run04/03_mesh_gidl_31nm.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,31 nm Mesh-GIDL full mesh sanity evidence.,
r04,r4,image,assets/images/run04/04_mesh_gidl_41nm.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,41 nm Mesh-GIDL full mesh sanity evidence.,
r04,r4,image,assets/images/run04/05_dc_lowvd_3level_semilog.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,Low-VD three-level Id-Vg semilog overlay.,
r04,r4,image,assets/images/run04/06_dc_highvd_3level_semilog.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,High-VD three-level Id-Vg semilog overlay.,
r04,r4,image,assets/images/run04/07_r4_dc_swb_matrix.png,yes,Sentaurus Visual/SWB,screenshot,r4_evidence,,,,mixed,mixed,verified_screenshot,Formal R4 DC SWB parameter matrix.,
